Airline,Source,Destination,Total_Stops,Day_of_Journey,Month_of_Journey,Dep_hour,Dep_min,Duration_hours,Duration_mins,Arrival_hour,Arrival_min,Price
IndiGo,Banglore,New_Delhi,0,24,3,22,20,2,50,1,10,3897
Air India,Kolkata,Banglore,2,1,5,5,50,7,25,13,15,7662
Jet Airways,Delhi,Cochin,2,9,6,9,25,19,0,4,25,13882
IndiGo,Kolkata,Banglore,1,12,5,18,5,5,25,23,30,6218
IndiGo,Banglore,New_Delhi,1,1,3,16,50,4,45,21,35,13302
SpiceJet,Kolkata,Banglore,0,24,6,9,0,2,25,11,25,3873
Jet Airways,Banglore,New_Delhi,1,12,3,18,55,15,30,10,25,11087
Jet Airways,Banglore,New_Delhi,1,1,3,8,0,21,5,5,5,22270
Jet Airways,Banglore,New_Delhi,1,12,3,8,55,25,30,10,25,11087
Multiple carriers,Delhi,Cochin,1,27,5,11,25,7,50,19,15,8625
Air India,Delhi,Cochin,1,1,6,9,45,13,15,23,0,8907
IndiGo,Kolkata,Banglore,0,18,4,20,20,2,35,22,55,4174
Air India,Chennai,Kolkata,0,24,6,11,40,2,15,13,55,4667
Jet Airways,Kolkata,Banglore,1,9,5,21,10,12,10,9,20,9663
IndiGo,Kolkata,Banglore,0,24,4,17,15,2,35,19,50,4804
Air India,Delhi,Cochin,2,3,3,16,40,26,35,19,15,14011
SpiceJet,Delhi,Cochin,1,15,4,8,45,4,30,13,15,5830
Jet Airways,Delhi,Cochin,1,12,6,14,0,22,35,12,35,10262
Air India,Delhi,Cochin,2,12,6,20,15,23,0,19,15,13381
Jet Airways,Delhi,Cochin,1,27,5,16,0,20,35,12,35,12898
GoAir,Delhi,Cochin,1,6,3,14,10,5,10,19,20,19495
Air India,Banglore,New_Delhi,1,21,3,22,0,15,20,13,20,6955
IndiGo,Banglore,Delhi,0,3,4,4,0,2,50,6,50,3943
IndiGo,Banglore,Delhi,0,1,5,18,55,2,55,21,50,4823
Jet Airways,Kolkata,Banglore,1,6,5,18,55,13,20,8,15,7757
Jet Airways,Delhi,Cochin,2,9,6,21,25,15,10,12,35,13292
IndiGo,Delhi,Cochin,1,1,6,21,50,5,45,3,35,8238
GoAir,Delhi,Cochin,1,15,5,7,0,5,55,12,55,7682
Vistara,Banglore,Delhi,0,18,6,9,45,2,50,12,35,4668
Vistara,Chennai,Kolkata,0,15,6,7,5,2,15,9,20,3687
Vistara,Chennai,Kolkata,0,18,6,7,5,2,15,9,20,3687
Air India,Kolkata,Banglore,2,1,5,9,50,13,25,23,15,13227
IndiGo,Banglore,Delhi,0,6,4,4,0,2,50,6,50,4423
Jet Airways,Delhi,Cochin,2,15,6,14,35,22,0,12,35,10919
Jet Airways,Delhi,Cochin,1,18,5,7,5,5,30,12,35,12373
IndiGo,Delhi,Cochin,1,27,6,10,35,10,25,21,0,5894
SpiceJet,Kolkata,Banglore,1,21,5,15,5,5,15,20,20,4649
Air India,Kolkata,Banglore,0,18,5,14,15,2,30,16,45,6245
Jet Airways,Banglore,New_Delhi,1,6,3,7,0,6,15,13,15,19225
Jet Airways,Delhi,Cochin,1,3,6,7,5,11,55,19,0,14924
Multiple carriers,Delhi,Cochin,1,21,5,7,5,11,5,18,10,9646
Air India,Banglore,New_Delhi,1,15,3,6,45,8,30,15,15,8714
Jet Airways,Delhi,Cochin,1,18,5,20,55,22,5,19,0,12373
Air Asia,Banglore,Delhi,0,6,5,11,10,2,45,13,55,3383
Multiple carriers,Delhi,Cochin,1,21,3,9,0,12,0,21,0,13062
SpiceJet,Banglore,New_Delhi,0,24,3,5,45,2,50,8,35,3527
IndiGo,Banglore,Delhi,0,27,5,4,0,2,50,6,50,3943
Air India,Chennai,Kolkata,0,3,5,11,40,2,15,13,55,4667
Air India,Kolkata,Banglore,1,15,5,19,0,16,5,11,5,6117
Jet Airways,Delhi,Cochin,2,27,6,23,5,19,55,19,0,11150
Jet Airways,Delhi,Cochin,0,9,3,11,0,3,15,14,15,7202
Jet Airways,Kolkata,Banglore,1,1,5,9,35,25,20,10,55,12121
